Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.030150321000000035, 76.17250561714172, 40, 506, 9.1
2, 0.36910599099999986, 149.03795218467712, 60, 2986, 124.0
3, 0.6893459359999998, 200.89787006378174, 80, 5395, 120.45
4, 1.0170021859999998, 275.84178280830383, 100, 7394, 99.95
5, 1.333489113, 334.149454832077, 120, 9686, 114.6
6, 1.661690011, 407.81276202201843, 140, 11884, 109.9
7, 1.975291986, 492.36432576179504, 160, 14865, 149.05
8, 2.301819525, 552.4867680072784, 180, 17894, 151.45
9, 2.6564704489999995, 665.5496745109558, 200, 21271, 168.85
10, 2.9907010539999996, 714.5228364467621, 220, 24372, 155.05
11, 3.299357295, 780.8885045051575, 240, 27577, 160.25
12, 3.610053005, 826.9537136554718, 260, 31648, 203.55
13, 3.9548272189999993, 935.9738571643829, 280, 34997, 167.45
14, 4.281754010999999, 980.424215555191, 300, 37746, 137.45
15, 4.645291875, 1038.9642713069916, 320, 42236, 224.5
16, 4.97802492, 1102.5698821544647, 340, 45429, 159.65
17, 5.3207639129999995, 1204.6525466442108, 360, 49197, 188.4
18, 5.670436177, 1274.959187746048, 380, 52746, 177.45
19, 6.010609581, 1374.6502559185028, 400, 55728, 149.1
20, 6.348358150999999, 1449.085235118866, 420, 59436, 185.4
21, 6.680106005, 1502.7421073913574, 440, 62407, 148.55
22, 7.030307312000001, 1587.726467847824, 460, 66108, 185.05
23, 7.351746503, 1626.975347995758, 480, 69765, 182.85
24, 7.696238388, 1755.066181898117, 500, 73435, 183.5
25, 8.007601436, 1893.9949355125427, 520, 76797, 168.1
26, 8.326407239, 1996.624256849289, 540, 80365, 178.4
27, 8.657965405, 2035.3449578285217, 560, 83635, 163.5
28, 8.979633671, 2109.3831355571747, 580, 86861, 161.3
29, 9.298193058, 2273.50097155571, 600, 89796, 146.75
30, 9.633744901, 2403.6594779491425, 620, 92745, 147.45
31, 9.962073784000001, 2470.585640192032, 640, 96262, 175.85
32, 10.300032563, 2588.864292860031, 660, 100135, 193.65
33, 10.631760645, 2629.707378387451, 680, 104171, 201.8
34, 10.975681799, 2713.6471021175385, 700, 108005, 191.7
35, 11.304514772000001, 2781.8642313480377, 720, 111253, 162.4
36, 11.645979327000001, 2837.009218931198, 740, 115339, 204.3
37, 11.983875951, 2897.270810842514, 760, 119201, 193.1
38, 12.335863882, 3000.362284183502, 780, 123185, 199.2
39, 12.677183032, 3099.960490465164, 800, 126483, 164.9
40, 13.063989154000001, 3172.9408128261566, 820, 129631, 157.4
41, 13.418586073, 3276.7550501823425, 840, 133117, 174.3
42, 13.772845447, 3347.5117411613464, 860, 135898, 139.05
43, 14.100719074, 3434.128774881363, 880, 139229, 166.55
44, 14.441758723000001, 3523.510389328003, 900, 143453, 211.2
45, 14.766835662, 3605.821664571762, 920, 147328, 193.75
46, 15.093080538, 3689.2083053588867, 940, 150113, 139.25
47, 15.422192722, 3748.502578496933, 960, 154016, 195.15
48, 15.755376372999999, 3800.6904668807983, 980, 157931, 195.75
49, 16.107147906999998, 3900.0884490013123, 1000, 161731, 190.0
50, 16.457443066, 3943.6263434886932, 1020, 166042, 215.55
51, 16.800546691999998, 4056.4588758945465, 1040, 170239, 209.85
52, 17.135130874999998, 4171.566597223282, 1060, 175008, 238.45
53, 17.457602939999997, 4311.793165206909, 1080, 178948, 197.0
54, 17.775968331999998, 4399.016761064529, 1100, 182547, 179.95
55, 18.095512024999998, 4477.718339204788, 1120, 186844, 214.85
56, 18.433951508, 4571.004383087158, 1140, 191963, 255.95
57, 18.812289008, 4650.77373790741, 1160, 196973, 250.5
58, 19.147368790999998, 4717.055796146393, 1180, 202041, 253.4
59, 19.488666096, 4790.165858745575, 1200, 206918, 243.85
60, 19.853882535, 4852.65914440155, 1220, 211723, 240.25
61, 20.199060541999998, 4901.640501022339, 1240, 216982, 262.95
62, 20.544287273, 4960.408568620682, 1260, 221449, 223.35
63, 20.884634357, 5035.2254774570465, 1280, 226035, 229.3
64, 21.233411205, 5069.110545873642, 1300, 230689, 232.7
65, 21.595095775999997, 5097.487949371338, 1320, 236013, 266.2
66, 21.933065026999998, 5127.953058242798, 1340, 240154, 207.05
67, 22.275436815, 5139.162705183029, 1360, 244480, 216.3
68, 22.641124937999997, 5151.9485194683075, 1380, 249717, 261.85
69, 22.9854175, 5231.854656934738, 1400, 254600, 244.15
70, 23.338913214999998, 5260.084906339645, 1420, 260161, 278.05
71, 23.684616259, 5271.29380106926, 1440, 264903, 237.1
72, 24.03015092, 5284.054332733154, 1460, 269119, 210.8
73, 24.383238453, 5334.713410139084, 1480, 274043, 246.2
74, 24.772613826999997, 5388.402629137039, 1500, 278305, 213.1
75, 25.119063934, 5446.147740125656, 1520, 282870, 228.25
76, 25.47663606, 5533.993144989014, 1540, 287581, 235.55
77, 25.847592708, 5627.830397129059, 1560, 293155, 278.7
78, 26.220525566, 5678.072517633438, 1580, 298098, 247.15
79, 26.592035959, 5691.08679318428, 1600, 302879, 239.05
80, 26.968143151, 5747.758693933487, 1620, 308018, 256.95
81, 27.337243938, 5803.285848617554, 1640, 313322, 265.2
82, 27.701428659999998, 5814.62420296669, 1660, 317747, 221.25
83, 28.064685514999997, 5827.369126558304, 1680, 322656, 245.45
84, 28.406316767, 5868.880443811417, 1700, 326751, 204.75
85, 28.730716851, 5884.705882072449, 1720, 331281, 226.5
86, 29.070962983999998, 5936.312975406647, 1740, 336263, 249.1
87, 29.394211208999998, 5986.759500026703, 1760, 340202, 196.95
88, 29.715489924, 5999.7037699222565, 1780, 344604, 220.1
89, 30.045538414, 6011.705673217773, 1800, 350375, 288.55
90, 30.377708456, 6048.222917318344, 1820, 355567, 259.6
91, 30.715541394999995, 6099.759654760361, 1840, 360517, 247.5
92, 31.088202330999998, 6110.972206354141, 1860, 365440, 246.15
93, 31.424177239000002, 6225.002162694931, 1880, 370171, 236.55
94, 31.780004743999996, 6280.801873207092, 1900, 375208, 251.85
95, 32.120210551, 6293.605082273483, 1920, 380152, 247.2
96, 32.46370319, 6304.848681688309, 1940, 384739, 229.35
97, 32.81192511, 6332.80912566185, 1960, 389820, 254.05
98, 33.164552015, 6392.783053159714, 1980, 394321, 225.05
99, 33.521809094, 6443.190517663956, 2000, 399489, 258.4
100, 33.873090104999996, 6473.28577375412, 2020, 404468, 248.95
101, 34.23028594, 6569.712442398071, 2040, 410305, 291.85
102, 34.594309482999996, 6580.867789268494, 2060, 415237, 246.6
103, 34.937014108, 6593.740927934647, 2080, 420064, 241.35
104, 35.286636225, 6604.829305410385, 2100, 424807, 237.15
105, 35.627339639, 6642.292851686478, 2120, 429884, 253.85
106, 35.970718227999996, 6655.006303310394, 2140, 435159, 263.75
107, 36.313676074, 6695.346330404282, 2160, 439463, 215.2
108, 36.655807259999996, 6706.451484441757, 2180, 444616, 257.65
109, 37.03533764, 6740.01177072525, 2200, 448954, 216.9
110, 37.374568221, 6815.289879083633, 2220, 453435, 224.05
111, 37.732634749999995, 6828.307663202286, 2240, 457850, 220.75
112, 38.082034631, 6839.324397563934, 2260, 462322, 223.6
113, 38.435547788, 6891.448874235153, 2280, 467436, 255.7
114, 38.786185304, 6902.496353387833, 2300, 471826, 219.5
115, 39.141441944, 6913.643984794617, 2320, 476649, 241.15
116, 39.496043303, 6972.1675634384155, 2340, 481238, 229.45
117, 39.856240225, 6983.410687685013, 2360, 486207, 248.45
118, 40.21569908, 7023.268600940704, 2380, 490688, 224.05
119, 40.571376033, 7052.849895000458, 2400, 494923, 211.75
120, 40.913646137, 7065.603919267654, 2420, 499079, 207.8
121, 41.25889221, 7110.877121210098, 2440, 503734, 232.75
122, 41.626271534, 7157.381561517715, 2460, 509197, 273.15
123, 41.971121225, 7224.890358924866, 2480, 513773, 228.8
124, 42.317903374, 7265.109516143799, 2500, 518321, 227.4
125, 42.671766675, 7276.343295574188, 2520, 522740, 220.95
126, 43.074012541, 7287.578343153, 2540, 527498, 237.9
127, 43.419905486, 7316.154079914093, 2560, 531224, 186.3
128, 43.774616981, 7328.869342327118, 2580, 535949, 236.25
129, 44.130630464, 7401.635479211807, 2600, 541174, 261.25
130, 44.4883792, 7433.86291384697, 2620, 545371, 209.85
131, 44.847367317999996, 7463.967730998993, 2640, 550008, 231.85
132, 45.208874767, 7475.141051769257, 2660, 554501, 224.65
133, 45.578644671, 7487.86253118515, 2680, 559696, 259.75
134, 45.947685612, 7533.625889539719, 2700, 565207, 275.55
135, 46.306583394, 7573.845431566238, 2720, 570178, 248.55
136, 46.695126417, 7631.615041971207, 2740, 575736, 277.9
137, 47.062280469, 7678.055731534958, 2760, 581221, 274.25
138, 47.417279445, 7727.055860996246, 2780, 585780, 227.95
139, 47.776949458, 7758.107798814774, 2800, 590824, 252.2
140, 48.137845816, 7769.463464260101, 2820, 595653, 241.45
141, 48.500111921, 7780.694423913956, 2840, 600747, 254.7
142, 48.903498539, 7810.552464962006, 2860, 605091, 217.2
143, 49.263783734, 7836.92641377449, 2880, 609570, 223.95
144, 49.637657727, 7900.1569719314575, 2900, 614539, 248.45
145, 49.9944121, 7949.712073564529, 2920, 619147, 230.4
146, 50.367628581, 7992.017954587936, 2940, 624222, 253.75
147, 50.740333772, 8003.320191860199, 2960, 629432, 260.5
148, 51.109066608999996, 8066.8744530677795, 2980, 634314, 244.1
149, 51.477485225, 8077.949974536896, 3000, 639552, 261.9
150, 51.844796319, 8090.887450218201, 3020, 644208, 232.8
151, 52.205600978999996, 8103.082778930664, 3040, 649098, 244.5
152, 52.597004942, 8169.657695531845, 3060, 654936, 291.9
153, 52.951619238999996, 8202.499469280243, 3080, 659766, 241.5
154, 53.312329625, 8213.69227361679, 3100, 664351, 229.25
155, 53.676997412, 8226.669104337692, 3120, 669198, 242.35
156, 54.033778792, 8237.68323135376, 3140, 673460, 213.1
157, 54.396018311, 8248.854598760605, 3160, 678033, 228.65
158, 54.815405610999996, 8261.816585540771, 3180, 683204, 258.55
159, 55.182055149, 8272.827929258347, 3200, 687893, 234.45
160, 55.563643526999996, 8307.84568476677, 3220, 692941, 252.4
161, 55.950284789, 8344.951207876205, 3240, 698024, 254.15
162, 56.342114246, 8357.997126340866, 3260, 703837, 290.65
